Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Miami Heat,66-16,37-4,29-12,41-11,25-5,14-4,12-6,15-1,8-2,8-2,9-1,36-14,30-2,9-3,39-8,1-0,10-3,10-5,8-5,12-1,17-1,8-1
2,Oklahoma City Thunder,60-22,34-7,26-15,21-9,39-13,7-3,8-2,6-4,10-6,16-2,13-5,39-14,21-8,3-6,44-6,,13-4,11-2,11-5,7-4,12-5,6-2
3,San Antonio Spurs,58-24,35-6,23-18,25-5,33-19,8-2,9-1,8-2,9-9,12-6,12-4,42-12,16-12,9-5,31-10,1-0,12-4,12-4,12-3,8-3,10-4,3-6
4,Denver Nuggets,57-25,38-3,19-22,19-11,38-14,5-5,10-0,4-6,11-5,14-4,13-5,33-21,24-4,11-7,28-8,0-1,8-8,9-6,12-3,8-4,13-2,7-1
5,Los Angeles Clippers,56-26,32-9,24-17,21-9,35-17,7-3,8-2,6-4,12-6,11-5,12-6,39-17,17-9,3-5,38-12,1-0,8-6,16-0,9-7,8-5,7-7,7-1
6,Memphis Grizzlies,56-26,32-9,24-17,22-8,34-18,8-2,8-2,6-4,12-6,12-6,10-6,33-18,23-8,6-4,28-9,0-1,12-1,7-7,10-7,9-2,11-6,7-2
7,New York Knicks,54-28,31-10,23-18,37-15,17-13,10-6,12-6,15-3,6-4,5-5,6-4,32-18,22-10,7-5,31-12,,11-4,10-5,7-6,6-5,12-6,8-2
8,Brooklyn Nets,49-33,26-15,23-18,36-16,13-17,11-5,13-5,12-6,5-5,5-5,3-7,31-22,18-11,9-4,23-17,,11-4,5-11,11-4,7-5,8-7,7-2
9,Indiana Pacers,49-32,30-11,19-21,31-20,18-12,6-11,13-3,12-6,3-7,7-3,8-2,32-21,17-11,4-9,27-14,1-0,7-8,10-5,9-6,9-3,11-5,2-5
10,Golden State Warriors,47-35,28-13,19-22,19-11,28-24,7-3,5-5,7-3,10-8,9-7,9-9,30-22,17-13,5-3,20-18,1-0,8-6,12-4,8-7,4-8,9-7,5-3
11,Chicago Bulls,45-37,24-17,21-20,34-18,11-19,13-5,9-7,12-6,4-6,5-5,2-8,30-22,15-15,11-7,16-16,1-0,6-7,9-6,12-4,5-8,7-7,5-5
12,Houston Rockets,45-37,29-12,16-25,21-9,24-28,7-3,7-3,7-3,8-10,10-8,6-10,29-26,16-11,5-5,26-13,1-0,6-8,10-6,8-9,6-5,9-5,5-4
13,Los Angeles Lakers,45-37,29-12,16-25,17-13,28-24,6-4,6-4,5-5,9-9,8-8,11-7,25-29,20-8,8-5,18-17,0-2,8-6,7-7,5-11,9-4,9-6,7-1
14,Atlanta Hawks,44-38,25-16,19-22,29-23,15-15,7-11,11-7,11-5,6-4,5-5,4-6,29-22,15-16,5-5,19-20,,9-5,10-5,7-9,7-4,8-10,3-5
15,Utah Jazz,43-39,30-11,13-28,17-13,26-26,5-5,5-5,7-3,9-7,9-9,8-10,30-24,13-15,5-7,19-21,1-0,8-8,6-9,10-4,6-6,7-9,5-3
16,Boston Celtics,41-40,27-13,14-27,27-24,14-16,7-9,8-9,12-6,6-4,6-4,2-8,28-24,13-16,8-7,18-23,0-1,9-6,5-9,8-7,8-4,8-8,3-5
17,Dallas Mavericks,41-41,24-17,17-24,17-13,24-28,5-5,6-4,6-4,7-11,10-8,7-9,23-29,18-12,5-8,17-19,1-1,6-8,5-10,7-8,6-5,11-5,5-4
18,Milwaukee Bucks,38-44,21-20,17-24,24-28,14-16,11-7,7-9,6-12,4-6,7-3,3-7,26-25,12-19,7-5,13-25,,7-7,9-6,8-7,4-8,7-9,3-7
19,Philadelphia 76ers,34-48,23-18,11-30,22-30,12-18,7-9,7-11,8-10,3-7,5-5,4-6,22-29,12-19,4-5,13-24,1-0,9-6,4-11,5-9,3-8,8-9,4-5
20,Toronto Raptors,34-48,21-20,13-28,22-30,12-18,5-11,8-10,9-9,4-6,4-6,4-6,21-32,13-16,8-8,16-22,0-1,4-12,7-7,5-10,7-5,4-11,7-2
21,Portland Trail Blazers,33-49,22-19,11-30,15-15,18-34,5-5,5-5,5-5,6-10,5-13,7-11,25-28,8-21,9-6,13-24,1-0,5-10,9-4,8-8,3-9,7-9,0-9
22,Minnesota Timberwolves,31-51,20-21,11-30,14-16,17-35,4-6,7-3,3-7,4-12,5-13,8-10,19-31,12-20,3-10,15-26,,7-8,7-5,3-12,3-10,6-11,5-5
23,Detroit Pistons,29-53,18-23,11-30,25-27,4-26,6-12,8-8,11-7,1-9,2-8,1-9,21-33,8-20,6-10,15-29,0-1,5-11,6-10,6-7,6-8,1-13,5-3
24,Washington Wizards,29-53,22-19,7-34,15-37,14-16,5-13,5-13,5-11,6-4,4-6,4-6,15-36,14-17,6-9,13-17,0-1,1-12,3-11,7-9,7-5,9-8,2-7
25,Sacramento Kings,28-54,20-21,8-33,14-16,14-38,4-6,4-6,6-4,5-13,7-9,2-16,19-35,9-19,7-3,12-31,0-1,4-10,7-8,6-11,3-9,7-8,1-7
26,New Orleans Hornets,27-55,16-25,11-30,12-18,15-37,3-7,5-5,4-6,5-13,5-13,5-11,19-34,8-21,7-5,10-27,0-1,4-9,3-13,8-8,5-8,6-9,1-7
27,Phoenix Suns,25-57,17-24,8-33,8-22,17-35,1-9,4-6,3-7,5-13,5-11,7-11,17-36,8-21,6-8,10-31,0-1,7-9,4-11,5-9,4-9,3-12,2-6
28,Cleveland Cavaliers,24-58,14-27,10-31,18-34,6-24,5-13,3-13,10-8,3-7,2-8,1-9,16-37,8-21,6-11,7-27,1-0,3-12,3-13,6-8,7-5,2-12,2-8
29,Charlotte Bobcats,21-61,15-26,6-35,18-34,3-27,6-12,6-12,6-10,2-8,0-10,1-9,12-40,9-21,6-6,6-37,,7-8,1-15,3-11,2-10,4-12,4-5
30,Orlando Magic,20-62,12-29,8-33,10-42,10-20,2-16,5-13,3-13,3-7,6-4,1-9,15-37,5-25,2-9,8-30,,5-10,7-9,2-12,2-11,3-13,1-7
